zona;plyn;jmeno;R_d;R_d_err;p;T;odpary
1;2;MDC;68,993295248;2,46469858586828;100000;12,22;0
1;3;PCH;41,3773216;4,72078927051988;100000;12,22;0
1;1;TCE;383,68254;29,052449877604;100000;12,22;193,552432841535

2;2;MDC;1829,44202;42,4;100000;16,12;497,265551667107
2;3;PCH;186,06211;4,5;100000;16,12;0
2;1;TCE;164,83252;8,3;100000;16,12;0

3;2;MDC;188,99627368;4,73052974457402;100000;17,57;0
3;3;PCH;728,63548;18,2187288670778;100000;17,57;230,880989782151
3;1;TCE;99,90569;4,99849348583921;100000;17,57;0
