záznam	èas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
589	17.06.2019 03:36	190	1	25	23	0	25	47	9	1	
590	17.06.2019 04:36	211	2	26	28	0	25	46	9	1	
591	17.06.2019 05:36	184	3	27	19	0	26	46	9	1	
592	17.06.2019 06:36	237	6	32	27	0	26	46	9	1	
593	17.06.2019 07:36	281	5	34	36	0	26	46	9	1	
594	17.06.2019 08:36	234	4	25	34	0	26	45	9	1	
595	17.06.2019 09:36	254	5	31	33	0	26	45	9	1	
596	17.06.2019 10:36	250	6	34	29	0	26	45	9	1	
597	17.06.2019 11:36	175	5	20	24	0	26	45	9	1	
598	17.06.2019 12:36	171	2	18	25	0	26	45	9	1	
599	17.06.2019 13:36	234	4	28	31	0	26	45	9	1	
600	17.06.2019 14:36	223	0	27	29	0	26	45	9	1	
601	17.06.2019 15:36	227	2	28	29	0	26	45	9	1	
602	17.06.2019 16:36	187	4	24	23	0	26	45	9	1	
603	17.06.2019 17:36	181	2	24	22	0	26	44	9	1	
604	17.06.2019 18:36	236	4	26	34	0	26	44	9	1	
605	17.06.2019 19:36	220	1	32	24	0	26	44	9	1	
606	17.06.2019 20:36	272	8	30	39	0	26	44	9	1	
607	17.06.2019 21:36	237	1	20	41	0	25	45	9	1	
608	17.06.2019 22:36	248	6	36	28	0	25	45	9	1	
609	17.06.2019 23:36	326	3	39	45	0	25	45	9	1	
610	18.06.2019 00:36	264	3	33	35	0	25	45	9	1	
611	18.06.2019 01:36	306	2	38	41	0	25	45	9	1	
612	18.06.2019 02:36	325	2	36	47	0	25	46	9	1	
613	18.06.2019 03:36	270	1	28	41	0	25	46	9	1	
614	18.06.2019 04:36	200	2	25	26	0	25	46	9	1	
615	18.06.2019 05:36	209	5	24	30	0	25	45	9	1	
616	18.06.2019 06:36	170	2	22	22	0	25	45	9	1	
617	18.06.2019 07:36	225	5	28	30	0	25	45	9	1	
618	18.06.2019 08:36	207	5	26	26	0	26	45	9	1	
619	18.06.2019 09:36	203	4	21	30	0	26	45	9	1	
620	18.06.2019 10:36	223	3	29	27	0	26	45	9	1	
621	18.06.2019 11:36	167	5	25	17	0	26	45	9	1	
622	18.06.2019 12:36	216	7	24	31	0	26	44	9	1	
623	18.06.2019 13:36	228	4	30	28	0	26	44	9	1	
624	18.06.2019 14:36	311	1	35	44	0	26	44	9	1	
625	18.06.2019 15:36	244	4	28	34	0	26	44	9	1	
626	18.06.2019 16:36	315	5	32	48	0	26	44	9	1	
627	18.06.2019 17:36	268	4	32	36	0	26	44	9	1	
628	18.06.2019 18:36	283	3	40	32	0	26	44	9	1	
629	18.06.2019 19:36	276	7	34	36	0	26	44	9	1	
630	18.06.2019 20:36	369	7	44	52	0	25	44	9	1	
631	18.06.2019 21:36	361	12	51	43	0	25	44	9	1	
632	18.06.2019 22:36	353	6	44	47	0	25	45	9	1	
633	18.06.2019 23:36	361	4	40	53	0	25	45	9	1	
634	19.06.2019 00:36	341	6	46	42	0	25	45	9	1	
635	19.06.2019 01:36	303	3	37	41	0	25	45	9	1	
636	19.06.2019 02:36	264	1	33	35	0	25	45	9	1	
637	19.06.2019 03:36	279	6	31	41	0	25	45	9	1	
638	19.06.2019 04:36	235	6	24	36	0	25	46	9	1	
639	19.06.2019 05:36	278	2	33	38	0	25	46	9	1	
640	19.06.2019 06:36	273	3	35	33	0	26	46	9	1	
641	19.06.2019 07:36	277	7	30	39	0	26	46	9	1	
642	19.06.2019 08:36	333	1	43	40	0	26	46	9	1	
643	19.06.2019 09:36	369	6	37	55	0	26	46	9	1	
644	19.06.2019 10:36	385	7	49	47	0	26	46	9	1	
645	19.06.2019 11:36	357	6	46	43	0	26	46	9	1	
646	19.06.2019 12:36	361	8	37	53	0	26	46	9	1	
647	19.06.2019 13:36	398	4	46	53	0	26	46	9	1	
648	19.06.2019 14:36	353	2	33	55	0	26	46	9	1	
649	19.06.2019 15:36	365	10	43	48	0	26	46	9	1	
650	19.06.2019 16:36	369	8	42	50	0	26	46	9	1	
651	19.06.2019 17:36	377	1	42	52	0	26	46	9	1	
652	19.06.2019 18:36	285	5	36	35	0	26	46	9	1	
653	19.06.2019 19:36	237	4	30	29	0	26	46	9	1	
654	19.06.2019 20:36	273	4	30	38	0	26	46	9	1	
655	19.06.2019 21:36	285	7	35	36	0	26	46	9	1	
656	19.06.2019 22:36	312	1	40	37	0	26	47	9	1	
657	19.06.2019 23:36	247	9	29	32	0	26	47	9	1	
658	20.06.2019 00:36	344	2	46	39	0	26	47	9	1	
659	20.06.2019 01:36	265	7	33	34	1	25	47	9	1	
660	20.06.2019 02:36	265	6	32	35	0	25	47	9	1	
661	20.06.2019 03:36	245	7	27	35	2	25	47	9	1	
662	20.06.2019 04:36	308	6	36	42	0	25	47	9	1	
663	20.06.2019 05:36	217	6	23	32	0	25	47	9	1	
664	20.06.2019 06:36	186	5	20	26	0	26	47	9	1	
665	20.06.2019 07:36	273	5	32	36	0	26	46	9	1	
