záznam	èas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
1	23.05.2019 13:48	3349	106	1284	394	0	17	49	9	1	
2	23.05.2019 14:48	3644	100	903	923	0	17	49	8	1	
3	23.05.2019 15:48	3600	88	824	980	0	17	49	8	1	
4	23.05.2019 16:48	3193	92	694	906	0	17	49	8	1	
5	23.05.2019 17:48	2960	66	671	812	0	17	49	8	1	
6	23.05.2019 18:48	2726	70	619	747	0	17	49	8	1	
7	23.05.2019 19:48	2453	77	584	645	0	17	49	8	1	
8	23.05.2019 20:48	2359	85	573	609	0	17	49	8	1	
9	23.05.2019 21:48	2303	66	546	608	0	17	49	8	1	
10	23.05.2019 22:48	2113	61	465	594	0	17	49	8	1	
11	23.05.2019 23:48	1928	60	429	537	0	17	49	8	1	
12	24.05.2019 00:48	1695	46	399	474	0	16	49	8	1	
13	24.05.2019 01:48	1567	43	348	459	0	16	49	8	1	
14	24.05.2019 02:48	1429	49	337	399	0	16	49	8	1	
15	24.05.2019 03:48	1264	38	308	343	0	16	49	8	1	
16	24.05.2019 04:48	1038	25	253	282	0	16	49	8	1	
17	24.05.2019 05:48	1099	42	260	306	0	16	49	8	1	
18	24.05.2019 06:48	918	28	218	255	0	16	49	8	1	
19	24.05.2019 07:48	852	16	206	233	0	16	49	8	1	
20	24.05.2019 08:48	759	17	161	230	0	16	49	8	1	
21	24.05.2019 09:48	677	21	155	194	0	16	49	8	1	
22	24.05.2019 10:48	652	20	175	158	0	16	50	8	1	
23	24.05.2019 11:48	636	19	134	191	0	16	50	8	1	
24	24.05.2019 12:48	542	20	134	143	0	16	50	8	1	
25	24.05.2019 13:48	539	13	130	138	0	17	50	8	1	
26	24.05.2019 14:48	489	14	112	131	0	17	50	8	1	
27	24.05.2019 15:48	447	20	105	119	0	17	49	8	1	
28	24.05.2019 16:48	461	13	106	125	0	17	49	8	1	
29	24.05.2019 17:48	363	9	86	96	0	17	49	8	1	
30	24.05.2019 18:48	419	12	116	94	0	17	49	8	1	
31	24.05.2019 19:48	391	15	83	113	0	17	49	8	1	
32	24.05.2019 20:48	395	10	97	101	0	17	49	8	1	
33	24.05.2019 21:48	369	11	90	95	0	17	49	8	1	
34	24.05.2019 22:48	431	7	103	113	0	17	49	8	1	
35	24.05.2019 23:48	395	13	99	99	0	17	49	8	1	
36	25.05.2019 00:48	461	15	137	94	0	17	49	8	1	
37	25.05.2019 01:48	530	14	123	143	1	17	49	8	1	
38	25.05.2019 02:48	493	27	117	130	0	17	49	8	1	
39	25.05.2019 03:48	487	15	122	122	0	17	49	8	1	
